Date,Asset name,Series,Value,Rolling_mean,Momentum,Volatility
2023-04-16,LTC-USD,adjclose,0.9339406817141942,0.7588971383225758,0.3623019304198587,0.11520390075869402
2023-04-16,XRP-USD,adjclose,0.9015082996166748,0.8621480134755043,0.04050653264828408,0.09461557618977945
2023-04-16,BTC-USD,adjclose,0.9537198537773212,0.958115342715371,0.023409701086723578,0.04836437538784235
2023-04-16,ETH-USD,adjclose,1.0,0.7820168535870564,2.3805466301515277,0.2992428285293427
2023-04-17,LTC-USD,adjclose,0.8675151343911018,0.8103655226702458,0.4217522441202324,0.10048592409453484
2023-04-17,ETH-USD,adjclose,0.8647268149980549,0.878185913184368,1.2525877821102709,0.3579033232190679
2023-04-17,XRP-USD,adjclose,0.8085156588747124,0.8712289134767459,0.0594991954691535,0.089175665525896
2023-04-17,BTC-USD,adjclose,0.7172679770955304,0.9204047920879708,-0.2081568094479337,0.12530954699295374
2023-04-18,BNDW,adjclose,0.1070099230209109,0.3317479405436756,-0.8245715205321535,4.208647730632801
2023-04-18,ZS=F,adjclose,0.9999999999999982,0.8827027027027018,0.31205673758865204,0.10538608699291102
2023-04-18,HG=F,adjclose,0.9191087563049544,0.9303632290981299,0.1987769925273597,0.11305163744243424
2023-04-18,KC=F,adjclose,1.0,0.5861181869888406,3.1382999100704927,0.6780964647654246
2023-04-18,BTC-USD,adjclose,0.9760517648232474,0.9203225431581357,-0.00042115742755843844,0.21945349865331137
2023-04-18,GC=F,adjclose,0.4072996264826649,0.46277372262773825,0.10276563510214154,0.7201499981917947
2023-04-18,SI=F,adjclose,0.5578649704843262,0.6435955436638003,0.133559921354649,0.3445256880642503
2023-04-18,VNO,adjclose,0.6825937855593542,0.5802048479198835,-0.17695483587384808,0.3792188367846689
2023-04-18,AGG,adjclose,0.1034530051589399,0.3738096996423621,-0.8369552566383397,6.426866627366825
2023-04-18,CL=F,adjclose,0.8367346409177276,0.9092516500506811,-0.05165752551170488,0.09814213926891849
2023-04-18,GDLC,adjclose,0.8059210000028232,0.8282894313748187,0.0745614457035082,0.23105341212788844
2023-04-18,ZC=F,adjclose,1.0,0.7663366336633665,1.1041666666666652,0.25921454843933156
2023-04-18,ETH-USD,adjclose,0.9521861629733488,0.9350009829309605,0.4251919631864418,0.20543171481646103
2023-04-18,TIP,adjclose,0.1201551926015582,0.4164559725336915,-0.8555477352165805,0.8821340240492593
2023-04-18,VEU,adjclose,0.9642882687729256,0.7714299338217486,3.4999761583089324,0.7634341399938217
2023-04-18,SLV,adjclose,0.545976425606268,0.6494248904644611,0.13095081312074153,0.32713722346684676
